"chw" "question" "score"
"89fda0284e008d2e0c980fb13f99fba3" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f95205a" "form.bp2.not_yet_maternal_emergency" 0
"70c6ba6f55ed21716fe725c21469d627" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f99f90d" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98fe2e" "form.bp2.not_yet_maternal_emergency" 0
"70c6ba6f55ed21716fe725c214694428" "form.bp2.not_yet_maternal_emergency" 0
"70c6ba6f55ed21716fe725c21469a1e0" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f95bb9f" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9b1ab6" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f95300e" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f99d8c6" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f997d88" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f966e31" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f96554b" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f96c45a" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f999c89" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98abea" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98317d" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9a2e6b" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f952278" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f957a1e" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9a94f7" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97cb4f" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97cef7" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9b1273" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9ad060" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f976b14" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98ed57" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f992875" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f96de63" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9992a6" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97fc0a" "form.bp2.not_yet_maternal_emergency" 0
"fb6e0b19cbe3ef683a10c4c47669d0ce" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f975e5c" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9509fd" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9b1c77" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f96114d" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9a7b0c" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f958239" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f960194" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98af77" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97dff4" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98d506" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f956dab" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f964b7e" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9b3322" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f990df9" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f961f23" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f99a3ad" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98d9d7" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f958016" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f95e9b4" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9866e8" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f955485" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f994cf8" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f95623e" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f989136" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f970282" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97850c" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f96807a" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f980ee3" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f94f406" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9ae796" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f99a592" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f956856" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f996b98" "form.bp2.not_yet_maternal_emergency" 0
"70c6ba6f55ed21716fe725c214691571" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f953df5" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9a68f3" "form.bp2.not_yet_maternal_emergency" 0
"fcd13ae716841026ee760704bb0d7ba4" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9735c8" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9a4d8a" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98b956" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f99f8e5" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9b3f75" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f970c18" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f950883" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f987d0e" "form.bp2.not_yet_maternal_emergency" 0
"70c6ba6f55ed21716fe725c21469fe3b" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f95b755" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9ab9a8" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98311d" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98736b" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f99c940" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f951435" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f964e6a" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f99a86d" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f94f3f9" "form.bp2.not_yet_maternal_emergency" 0
"70c6ba6f55ed21716fe725c214694627" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f978216" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f95cb81" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9528e1" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9917a0" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f983809" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f969126" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f955cb1" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9623b3" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9597bc" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f96e561" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f972945" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98fd43" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f978578" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f966efc" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f987fd5" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9a6a78" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9b323a" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9ad330" "form.bp2.not_yet_maternal_emergency" 0
"70c6ba6f55ed21716fe725c21469e6ed" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f979609" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f96442a" "form.bp2.not_yet_maternal_emergency" 0
"70c6ba6f55ed21716fe725c2146972eb" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f973bdc" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f99f651" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f966281" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98a6d5" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9b2365" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9859d8" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f95ad0e" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f982710" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98872f" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f96fddb" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9900d3" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97e56a" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f959c0a" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97bafa" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f96372c" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9a51a9" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f99a47e" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f992e2c" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f94e6b6" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9a3e49" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9b19cd" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f94d6ef" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f94e5b7" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f95d481" "form.bp2.not_yet_maternal_emergency" 0
"fcd13ae716841026ee760704bb0d99ee" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97478a" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9692b3" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9a1c42" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98230b" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f968eb0" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97eeaa" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f99e74b" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97722c" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9ad888" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f992222" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f96a8a3" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f95f2b4" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f983d38" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97256b" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f950688" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97d834" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f981bae" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f985a55" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f998a68" "form.bp2.not_yet_maternal_emergency" 0
"70c6ba6f55ed21716fe725c21469c91d" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f95f7a6" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f954d49" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9a5551" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f95fe45" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f96a690" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f99fba3" "form.bp1.counsel_ifa" 0.0418650790236681
"89fda0284e008d2e0c980fb13f95205a" "form.bp1.counsel_ifa" 0.0821339653094638
"70c6ba6f55ed21716fe725c21469d627" "form.bp1.counsel_ifa" 0.0105888530423277
"89fda0284e008d2e0c980fb13f99f90d" "form.bp1.counsel_ifa" 0.0340201835526956
"89fda0284e008d2e0c980fb13f98fe2e" "form.bp1.counsel_ifa" 0.0340201835526956
"70c6ba6f55ed21716fe725c214694428" "form.bp1.counsel_ifa" 0.0262285013948423
"70c6ba6f55ed21716fe725c21469a1e0" "form.bp1.counsel_ifa" 0.0418650790236681
"89fda0284e008d2e0c980fb13f95bb9f" "form.bp1.counsel_ifa" 0.0418650790236681
"89fda0284e008d2e0c980fb13f9b1ab6" "form.bp1.counsel_ifa" 0.0739309731747089
"89fda0284e008d2e0c980fb13f95300e" "form.bp1.counsel_ifa" 0.115733692562648
"89fda0284e008d2e0c980fb13f99d8c6" "form.bp1.counsel_ifa" 0.0262285013948423
"89fda0284e008d2e0c980fb13f997d88" "form.bp1.counsel_ifa" 0.0577529204956596
"89fda0284e008d2e0c980fb13f966e31" "form.bp1.counsel_ifa" 0.0658044798241516
"89fda0284e008d2e0c980fb13f96554b" "form.bp1.counsel_ifa" 0.124335250605798
"89fda0284e008d2e0c980fb13f96c45a" "form.bp1.counsel_ifa" 0.0821339653094638
"89fda0284e008d2e0c980fb13f999c89" "form.bp1.counsel_ifa" 0.0262285013948423
"89fda0284e008d2e0c980fb13f98abea" "form.bp1.counsel_ifa" 0.115733692562648
"89fda0284e008d2e0c980fb13f98317d" "form.bp1.counsel_ifa" 0.0821339653094638
"89fda0284e008d2e0c980fb13f9a2e6b" "form.bp1.counsel_ifa" 0.115733692562648
"89fda0284e008d2e0c980fb13f952278" "form.bp1.counsel_ifa" 0.0658044798241516
"89fda0284e008d2e0c980fb13f957a1e" "form.bp1.counsel_ifa" 0.0821339653094638
"89fda0284e008d2e0c980fb13f9a94f7" "form.bp1.counsel_ifa" 0.0262285013948423
"89fda0284e008d2e0c980fb13f97cb4f" "form.bp1.counsel_ifa" 1.3488803322896
"89fda0284e008d2e0c980fb13f97cef7" "form.bp1.counsel_ifa" 0.0658044798241516
"89fda0284e008d2e0c980fb13f9b1273" "form.bp1.counsel_ifa" 0.115733692562648
"89fda0284e008d2e0c980fb13f9ad060" "form.bp1.counsel_ifa" 0.205546670955355
"89fda0284e008d2e0c980fb13f976b14" "form.bp1.counsel_ifa" 0.0105888530423277
"89fda0284e008d2e0c980fb13f98ed57" "form.bp1.counsel_ifa" 0.215006067432935
"89fda0284e008d2e0c980fb13f992875" "form.bp1.counsel_ifa" 0.0739309731747089
"89fda0284e008d2e0c980fb13f96de63" "form.bp1.counsel_ifa" 0.0262285013948423
"89fda0284e008d2e0c980fb13f9992a6" "form.bp1.counsel_ifa" 0.0904147124084898
"89fda0284e008d2e0c980fb13f97fc0a" "form.bp1.counsel_ifa" 0.0184619870236964
