"chw" "question" "score"
"89fda0284e008d2e0c980fb13f975e5c" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f996b98" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f9a94f7" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f958239" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f97eeaa" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f95f2b4" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f95e9b4" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f9b323a" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f964e6a" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f97dff4" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f966e31" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f99e74b" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f980116" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f981bae" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f98fe2e" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f968eb0" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f9ad330" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f9b2365" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f96554b" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f95fe45" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f99fa39" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f9992a6" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f95d481" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f96807a" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f95b755" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f9623b3" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f97256b" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f967b9f" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f9a6d98" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f97722c" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f961f23" "form.bp2.not_yet_maternal_emergency" 1
"fcd13ae716841026ee760704bb0d99ee" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f982710" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f9628e2" "form.bp2.not_yet_maternal_emergency" 1
"89fda0284e008d2e0c980fb13f99f651" "form.bp2.not_yet_maternal_emergency" 1
